"Video ",Subject,Sub Subject,Category,Feature Tags,Video Link
https://www.loom.com/share/27ffd53c628f4d08b18e3d5a8c7cea08?sid=d356f652-f4b4-4e48-8341-def2a3bb3ed4,Report,Number,"CMO Dash Template, Gaetano DiNardi's Blog Vitals Dashboard","Divide By, Inline Column Filter, Percent Ratio Format",https://www.loom.com/share/27ffd53c628f4d08b18e3d5a8c7cea08?sid=d356f652-f4b4-4e48-8341-def2a3bb3ed4
Closed Won Count,"Report ",Number,"Business, Business Overview, Gaetano DiNardi's Blog Vitals Dashboard",,https://www.loom.com/share/23e2df2517f24fa5acf3cad4dd211afa?sid=b83a607e-4777-4245-ad63-151cc70ec75d
Blog Entrances that Book Later,Report,Table,Gaetano DiNardi's Blog Vitals Dashboard,,https://www.loom.com/share/39806de88b1e4eb3b198ea6413c04549?sid=48dc5a74-5562-4728-bb98-9f6917f3b76d
