"Video ",Category,Feature Tags,Sub Subject,Subject
https://www.loom.com/share/e4ef5230d2e7480e8f377f01d094ff64?sid=f7e30c87-a644-4640-9ff7-feccee30703a,"CMO Dash Template, In - Person Events, Roman Krs's Google Ads Template, Silvio's Paid Ads Template",Track Date Properties,Stages,Goal
https://www.loom.com/share/25de4ed559794ee880d0a7e69c9735f0?sid=162bdf54-7fea-4f77-90be-2f4942a803d7,"Business Overview, CMO Dash Template, Content/Organic Dashboard, In - Person Events, LinkedIn Dash, Silvio's Paid Ads Template",Track Date Properties,Stages,Goal
https://www.loom.com/share/ced48ba3e29e46d3a8428f78f4b60c3b?sid=d2aa363f-5ac7-4dc5-9fb2-81c3f0c41289,"Business Overview, CMO Dash Template, Silvio's Paid Ads Template",Track Date Properties,Stages,Goal
SAO,"Business, Paid, Silvio's Paid Ads Template",Track Date Properties,Stages,Goal
SQO,"Business, Paid, Silvio's Paid Ads Template",Track Date Properties,Stages,Goal
Closed Won,"ABM Live Demo, Content/Organic Dashboard, In - Person Events, Paid, Roman Krs's Google Ads Template, Silvio's Paid Ads Template",Track Date Properties,Stages,Goal
